Rank,Region,Score,GDP,Social,Healthy,Freedom,Generosity,Corruption,Area,Population,Continent,Ocupation,Latitude,Longitude
102,Benin,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.175,0.08199999999999999,112620.0,11485048,AF,101.98053631681762,9.30769,2.315834
104,Gabon,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.043,0.055,267667.0,2119275,AF,7.9175804264253715,-0.803689,11.609444
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.16399999999999998,236800.0,7061507,AS,29.820553209459458,19.856270000000002,102.495496
106,South Africa,4.7219999999999995,0.96,1.351,0.469,0.389,0.13,0.055,1219912.0,57779622,AF,47.3637623041662,-30.559482,22.937506
107,Albania,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003,28748.0,2866376,EU,99.70697091971616,41.153332,20.168331
108,Venezuela,4.707,0.96,1.4269999999999998,0.805,0.154,0.064,0.047,912050.0,28870195,SA,31.654180143632477,6.42375,-66.58973
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.23199999999999998,0.062,181040.0,16249798,AS,89.75805346884667,12.565679,104.990963
111,Senegal,4.681,0.45,1.1340000000000001,0.5710000000000001,0.292,0.153,0.07200000000000001,196190.0,15854360,AF,80.81125439624853,14.497401000000002,-14.452361999999999
112,Somalia,4.668,0.0,0.698,0.268,0.5589999999999999,0.243,0.27,637657.0,15008154,AF,23.536405936106714,5.152149,46.199616
113,Namibia,4.638999999999999,0.879,1.3130000000000002,0.47700000000000004,0.401,0.07,0.055999999999999994,825418.0,2448255,AF,2.9660790048193766,-22.957639999999998,18.49041
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,1267000.0,22442948,AF,17.71345540647198,17.607789,8.081666
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,274200.0,19751535,AF,72.03331509846826,12.238333,-1.561593
116,Armenia,4.559,0.85,1.055,0.815,0.28300000000000003,0.095,0.064,29800.0,2951776,AS,99.05288590604027,40.069099,45.038189
117,Iran,4.548,1.1,0.8420000000000001,0.785,0.305,0.27,0.125,1648000.0,81800269,AS,49.636085558252425,32.427908,53.68804599999999
118,Guinea,4.534,0.38,0.8290000000000001,0.375,0.332,0.207,0.086,245857.0,12414318,AF,50.49405955494454,9.945587,-9.696645
119,Georgia,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998,69700.0,3731000,AS,53.529411764705884,42.315407,43.356891999999995
120,Gambia,4.516,0.308,0.9390000000000001,0.428,0.382,0.26899999999999996,0.16699999999999998,11300.0,2280102,AF,201.77893805309733,13.443182,-15.310139000000001
121,Kenya,4.5089999999999995,0.512,0.983,0.581,0.431,0.37200000000000005,0.053,582650.0,51393010,AF,88.20562945164335,-0.023559,37.906193
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.08800000000000001,1030700.0,4403319,AF,4.272163578150772,21.00789,-10.940835
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.19699999999999998,0.138,801590.0,29495962,AF,36.796818822590105,-18.665695,35.529562
124,Tunisia,4.461,0.9209999999999999,1.0,0.815,0.16699999999999998,0.059000000000000004,0.055,163610.0,11565204,AF,70.6876352301204,33.886917,9.537499
125,Bangladesh,4.456,0.562,0.9279999999999999,0.723,0.527,0.166,0.14300000000000002,144000.0,161356039,AS,1120.5280486111112,23.684994,90.35633100000001
126,Iraq,4.437,1.043,0.98,0.574,0.24100000000000002,0.14800000000000002,0.08900000000000001,437072.0,38433600,AS,87.93425339532159,33.223191,43.679291
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052000000000000005,1240000.0,19077690,AF,15.385233870967742,17.570692,-3.9961660000000006
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,71740.0,7650154,AF,106.63721773069418,8.460555000000001,-11.779889
130,Sri Lanka,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.244,0.047,65610.0,21670000,AS,330.2850175278159,7.873054,80.77179699999999
132,Chad,4.35,0.35,0.7659999999999999,0.192,0.174,0.198,0.078,1284000.0,15477751,AF,12.05432320872274,15.454166,18.732207
133,Ukraine,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,0.01,603700.0,44622516,EU,73.91505052178235,48.379433,31.16558
134,Ethiopia,4.2860000000000005,0.336,1.033,0.532,0.344,0.209,0.1,1127127.0,109224559,AF,96.90528130370402,9.145,40.489672999999996
